2018/05/16 21:15:50 [error] 6#6: *7912 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:50 [error] 6#6: *7914 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:50 [error] 6#6: *7902 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:50 [error] 6#6: *7905 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:53 [error] 6#6: *7514 upstream prematurely closed connection while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:53 [error] 6#6: *7512 upstream prematurely closed connection while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6515 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6519 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6521 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6523 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6509 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6511 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6513 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6501 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
2018/05/16 21:15:54 [error] 6#6: *6503 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 172.19.0.1, server: varnish-conference.local, request: "GET /?offset=100&limit=600 HTTP/1.1", upstream: "fastcgi://172.19.0.2:9000", host: "varnish-conference.local:8082"
